Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL23018,[MoEx-1_0-st] Affymetrix Mouse Exon 1.0 ST Array [AltAnalyze probeset-to-Ensembl mapping],in situ oligonucleotide,Mus musculus,28399,4,1,Torsten Stein,2-Feb-17
GPL23021,PacBio RS II (Tetrahymena thermophila),high-throughput sequencing,Tetrahymena thermophila,0,2,2,GEO,2-Feb-17
GPL23023,Illumina HiSeq 2000 (Cercospora zeina; Zea mays),high-throughput sequencing,Cercospora zeina;Zea mays,0,3,1,GEO,2-Feb-17
GPL23025,Illumina NextSeq 500 (Didelphis virginiana),high-throughput sequencing,Didelphis virginiana,0,13,2,GEO,2-Feb-17
GPL21414,Roche-NimbleGen-Slide-512049-A02,spotted oligonucleotide,Haloferax volcanii,3985,18,2,Amy K Schmid,1-Feb-17
GPL22894,Nitric Oxide Signaling Pathway PCR Array,RT-PCR,Homo sapiens,0,18,1,mario chojkier,1-Feb-17
GPL23017,Illumina HiSeq 2500 (Meriones unguiculatus),high-throughput sequencing,Meriones unguiculatus,0,3,2,GEO,1-Feb-17
GPL23019,Illumina Genome Analyzer IIx (Neobellieria bullata),high-throughput sequencing,Sarcophaga bullata,0,6,1,GEO,1-Feb-17
GPL22590,NimbleGen Arabidopsis thaliana Gene Expression 12x135K Array [080924_AT6_expr],in situ oligonucleotide,Arabidopsis thaliana,30380,6,1,Yifeng XU,31-Jan-17
GPL22628,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version; reannotated),in situ oligonucleotide,Homo sapiens,62976,24,1,Eduardo Moraes Reis,31-Jan-17
GPL23005,NanoString nCounter Rat miRNA v1.1,other,Rattus norvegicus,446,0,0,Vasily Aushev,31-Jan-17
GPL23006,NanoString nCounter Rat miRNA v1.2,other,Rattus norvegicus,446,0,0,Vasily Aushev,31-Jan-17
GPL23011,[AraGene-1_0-st] Arabidopsis Gene 1.0 ST Array [CDF: aragene10st_At_TAIRG version 20],in situ oligonucleotide,Arabidopsis thaliana,27826,56,2,GEO admin,31-Jan-17
GPL23013,Illumina HiSeq 4000 (Oryza sativa),high-throughput sequencing,Oryza sativa,0,477,40,GEO,31-Jan-17
GPL23014,Illumina HiSeq 3000 (Saccharomyces cerevisiae),high-throughput sequencing,Saccharomyces cerevisiae,0,687,19,GEO,31-Jan-17
GPL23015,Illumina HiSeq 1000 (Amphidinium carterae),high-throughput sequencing,Amphidinium carterae,0,6,1,GEO,31-Jan-17
GPL22498,LU-endothelial to hematopoietic transition qRT-PCR array,RT-PCR,Homo sapiens,91,447,1,Carolina Guibentif,30-Jan-17
GPL22821,Agilent-033839 Chr21_60k_final [Probe name version],in situ oligonucleotide,Homo sapiens,57798,526,1,Benjamin Rambo-Martin,30-Jan-17
GPL23002,Illumina HiSeq 3000 (Medicago truncatula),high-throughput sequencing,Medicago truncatula,0,43,4,GEO,30-Jan-17
GPL23004,Illumina NextSeq 500 (Oncorhynchus mykiss),high-throughput sequencing,Oncorhynchus mykiss,0,156,7,GEO,30-Jan-17
GPL23007,Illumina HiSeq 2000 (Prunus avium),high-throughput sequencing,Prunus avium,0,21,1,GEO,30-Jan-17
GPL23008,Illumina NextSeq 500 (Hypsibius dujardini),high-throughput sequencing,Hypsibius dujardini,0,43,2,GEO,30-Jan-17
GPL23009,Illumina NextSeq 500 (Ramazzottius varieornatus),high-throughput sequencing,Ramazzottius varieornatus,0,131,5,GEO,30-Jan-17
GPL23000,Illumina HiSeq 2500 (Oncorhynchus mykiss),high-throughput sequencing,Oncorhynchus mykiss,0,122,14,GEO,29-Jan-17
GPL22998,Agilent-035953 Custom 60K Sus scrofa Array [Feature Number Version],in situ oligonucleotide,Sus scrofa,45122,60,2,Marcel Hulst,27-Jan-17
GPL22989,Illumina MiSeq (Phalaenopsis amabilis),high-throughput sequencing,Phalaenopsis amabilis,0,10,1,GEO,26-Jan-17
GPL22990,Illumina HiSeq 4000 (Cryptococcus neoformans var. neoformans),high-throughput sequencing,Cryptococcus neoformans var. neoformans,0,64,1,GEO,26-Jan-17
GPL22992,TaqMan OpenArray Human MicroRNA Panel,RT-PCR,Homo sapiens,0,295,13,GEO admin,26-Jan-17
GPL22993,Illumina HiSeq 2500 (Escherichia coli B str. REL606),high-throughput sequencing,Escherichia coli B str. REL606,0,152,1,GEO,26-Jan-17
GPL22994,Illumina MiSeq (Listeria weihenstephanensis),high-throughput sequencing,Listeria weihenstephanensis,0,4,1,GEO,26-Jan-17
GPL22996,AB 5500xl Genetic Analyzer (Thermosynechococcus elongatus BP-1),high-throughput sequencing,Thermosynechococcus vestitus BP-1,0,20,1,GEO,26-Jan-17
GPL21233,Solanum melongena array v1.0,in situ oligonucleotide,Solanum melongena,781,36,1,Alberto Ferrarini,25-Jan-17
GPL22983,Illumina HiSeq 2000 (Nostoc punctiforme PCC 73102),high-throughput sequencing,Nostoc punctiforme PCC 73102,0,5,1,GEO,25-Jan-17
GPL22984,Illumina HiSeq 2000 (Legionella pneumophila str. Paris),high-throughput sequencing,Legionella pneumophila str. Paris,0,10,1,GEO,25-Jan-17
GPL22985,Illumina Genome Analyzer II (Brassica oleracea var. botrytis),high-throughput sequencing,Brassica oleracea var. botrytis,0,2,1,GEO,25-Jan-17
GPL22986,Illumina Genome Analyzer II (Brassica rapa subsp. oleifera),high-throughput sequencing,Brassica rapa subsp. oleifera,0,2,1,GEO,25-Jan-17
GPL22988,Illumina Genome Analyzer II (Brassica oleracea; Brassica rapa),high-throughput sequencing,Brassica oleracea;Brassica rapa,0,1,1,GEO,25-Jan-17
GPL20001,Agilent-027020 100125_dmertens_180K_incl_linker 026678,in situ oligonucleotide,Homo sapiens,180880,19,2,Katharina Filarsky,23-Jan-17
GPL21204,Qiagen Human Custom RT² Profiler PCR Array CAPH10409,RT-PCR,Homo sapiens,96,14,2,Joost J van den Oord,23-Jan-17
GPL21205,Qiagen Human Custom RT² Profiler PCR Array CAPH10410,RT-PCR,Homo sapiens,96,15,2,Joost J van den Oord,23-Jan-17
GPL22973,Illumina HiSeq 2500 (Epinephelus coioides),high-throughput sequencing,Epinephelus coioides,0,22,5,GEO,23-Jan-17
GPL22974,Illumina HiSeq 2000 (Ictidomys tridecemlineatus),high-throughput sequencing,Ictidomys tridecemlineatus,0,25,2,GEO,23-Jan-17
GPL22976,Illumina HiSeq 2000 (Aubrieta x cultorum),high-throughput sequencing,Aubrieta x cultorum,0,2,1,GEO,23-Jan-17
GPL22970,Illumina MiSeq (Fibrobacter succinogenes subsp. succinogenes S85),high-throughput sequencing,Fibrobacter succinogenes subsp. succinogenes S85,0,10,1,GEO,22-Jan-17
GPL22971,Illumina HiSeq 2000 (Cyanidioschyzon merolae strain 10D),high-throughput sequencing,Cyanidioschyzon merolae strain 10D,0,22,4,GEO,22-Jan-17
GPL22972,Illumina HiSeq 4000 (Yarrowia lipolytica),high-throughput sequencing,Yarrowia lipolytica,0,18,2,GEO,22-Jan-17
GPL22841,[PrimeView] Affymetrix Human Gene Expression Array [Brainarray ENTREZG Version 20],in situ oligonucleotide,Homo sapiens,18487,59,1,Pawel Karpinski,21-Jan-17
GPL22969,Illumina HiSeq 2000 (Porphyromonas gulae),high-throughput sequencing,Porphyromonas gulae,0,4,1,GEO,21-Jan-17
GPL22953,Aligent-047614,in situ oligonucleotide,Porphyromonas gingivalis,1914,4,1,Hongyan Wang,20-Jan-17
GPL22962,Agilent-015906 Salmonella enterica 4x44K microarray (Feature Number version),spotted oligonucleotide,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,43231,2,2,Chang Chieh-Hsiang,20-Jan-17
GPL22964,Illumina HiSeq 2000 (Pisolithus microcarpus),high-throughput sequencing,Pisolithus microcarpus,0,15,1,GEO,20-Jan-17
GPL22965,Illumina HiSeq 2000 (Acanthamoeba castellanii; Candidatus Protochlamydia amoebophila),high-throughput sequencing,Acanthamoeba castellanii;Candidatus Protochlamydia amoebophila,0,12,1,GEO,20-Jan-17
GPL22966,Illumina HiSeq 2000 (Acanthamoeba castellanii),high-throughput sequencing,Acanthamoeba castellanii,0,1,1,GEO,20-Jan-17
GPL22967,Illumina HiSeq 2000 (Neodiprion lecontei),high-throughput sequencing,Neodiprion lecontei,0,1,1,GEO,20-Jan-17
GPL22968,Illumina HiSeq 2000 (Dufourea novaeangliae),high-throughput sequencing,Dufourea novaeangliae,0,1,1,GEO,20-Jan-17
GPL22947,Illumina HiSeq 2500 (Potamopyrgus antipodarum),high-throughput sequencing,Potamopyrgus antipodarum,0,24,5,GEO,19-Jan-17
GPL22949,"Agilent-021827 Human miRNA Microarray G4470C (miRNA ID version, miRBase v18)",in situ oligonucleotide,Homo sapiens,961,117,3,GEO admin,19-Jan-17
GPL22950,Illumina HiSeq 2500 (Bos grunniens),high-throughput sequencing,Bos grunniens,0,24,3,GEO,19-Jan-17
GPL22951,Illumina NextSeq 500 (Meiothermus ruber; Thermosynechococcus elongatus BP-1),high-throughput sequencing,Meiothermus ruber;Thermosynechococcus vestitus BP-1,0,32,2,GEO,19-Jan-17
GPL22956,Illumina HiSeq 2000 (Erysimum cheiri),high-throughput sequencing,Erysimum cheiri,0,8,1,GEO,19-Jan-17
GPL22957,Illumina HiSeq 2000 (Eruca vesicaria subsp. sativa),high-throughput sequencing,Eruca vesicaria subsp. sativa,0,2,1,GEO,19-Jan-17
GPL22958,Illumina HiSeq 2000 (Iberis amara),high-throughput sequencing,Iberis amara,0,4,1,GEO,19-Jan-17
GPL22959,Illumina HiSeq 2000 (Lobularia maritima),high-throughput sequencing,Lobularia maritima,0,4,1,GEO,19-Jan-17
GPL22960,Illumina HiSeq 2000 (Malcolmia maritima),high-throughput sequencing,Malcolmia maritima,0,4,1,GEO,19-Jan-17
GPL22961,Illumina HiSeq 2000 (Matthiola incana),high-throughput sequencing,Matthiola incana,0,8,1,GEO,19-Jan-17
GPL22931,[HT_HG-U133A] Affymetrix Human Genome U133A Array (custom CDF: HTHGU133A_Hs_ENTREZG.cdf version 20.0.0),in situ oligonucleotide,Homo sapiens,12080,10,1,David Wolski,18-Jan-17
GPL22932,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array (HGU133A2_Hs_ENTREZG_20.0.0),in situ oligonucleotide,Homo sapiens,12080,78,1,David Wolski,18-Jan-17
GPL22934,Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray 030840 (miRBase release 18.0 miRNA ID version),in situ oligonucleotide,Homo sapiens,1368,8,1,Nicolas Mermod,18-Jan-17
GPL22937,Arraystar Human LncRNA Pathway microarray (Metabolism),in situ oligonucleotide,Homo sapiens,2119,6,1,Panos Pan,18-Jan-17
GPL22938,Agilent-026578 Rat piRNA microarray (feature number version),in situ oligonucleotide,Rattus norvegicus,45220,0,0,Panos Pan,18-Jan-17
GPL22940,Illumina HiSeq 1500 (Zea mays),high-throughput sequencing,Zea mays,0,27,2,GEO,18-Jan-17
GPL22941,Illumina HiSeq 2000 (Burkholderia multivorans),high-throughput sequencing,Burkholderia multivorans,0,3,1,GEO,18-Jan-17
GPL22942,Illumina HiSeq 2000 (Bos taurus indicus x Bos taurus taurus),high-throughput sequencing,Bos indicus x Bos taurus,0,7,1,GEO,18-Jan-17
GPL22943,Illumina HiSeq 2500 (Bos taurus indicus x Bos taurus taurus),high-throughput sequencing,Bos indicus x Bos taurus,0,1,1,GEO,18-Jan-17
GPL22944,Agilent-026578 Rat piRNA microarray (probe name version),in situ oligonucleotide,Rattus norvegicus,39947,12,3,Panos Pan,18-Jan-17
GPL22929,Illumina HiSeq 2500 (Ictidomys tridecemlineatus),high-throughput sequencing,Ictidomys tridecemlineatus,0,47,3,GEO,17-Jan-17
GPL22930,Illumina HiSeq 2500 (Salmonella enterica subsp. enterica serovar Typhi),high-throughput sequencing,Salmonella enterica subsp. enterica serovar Typhi,0,6,1,GEO,17-Jan-17
GPL22935,Illumina MiSeq (Heligmosomoides polygyrus bakeri; Mus musculus),high-throughput sequencing,Heligmosomoides bakeri;Mus musculus,0,1,1,GEO,17-Jan-17
GPL22936,[hta20_Hs_ENTREZG version 20] [HTA-2_0-st] GeneChip Human Transcriptome Array 2.0,in situ oligonucleotide,Homo sapiens,25736,37,4,GEO admin,17-Jan-17
GPL22927,Illumina HiSeq 2500 (Brevibacterium linens),high-throughput sequencing,Brevibacterium linens,0,3,1,GEO,16-Jan-17
GPL22928,Illumina HiSeq 2500 (Mus musculus; Trichuris muris),high-throughput sequencing,Mus musculus;Trichuris muris,0,1,1,GEO,16-Jan-17
GPL22907,Agilent-071531 Gmaxv275_phytozomev10 G4123A [Probe Name],in situ oligonucleotide,Glycine max,951712,38,5,Robert M Stupar,14-Jan-17
GPL17462,121115_Psativum_SB_expr,in situ oligonucleotide,Pisum sativum,81756,96,3,sandrine balzergue,13-Jan-17
GPL22919,Agilent-072320 1M BL21_NC_012971_v1,in situ oligonucleotide,Escherichia coli BL21(DE3),956329,14,2,Sung Ho Yoon,13-Jan-17
GPL22922,Illumina HiSeq 4000 (Leucoraja erinacea),high-throughput sequencing,Leucoraja erinacea,0,11,3,GEO,13-Jan-17
GPL22923,Illumina NextSeq 500 (Synechocystis sp. PCC 6803),high-throughput sequencing,Synechocystis sp. PCC 6803,0,29,5,GEO,13-Jan-17
GPL22908,GeoChip 5.0 (60k),in situ oligonucleotide,uncultured soil microorganism,43599,42,1,LINWEI WU,12-Jan-17
GPL22912,Illumina HiSeq 2000 (Anopheles anthropophagus),high-throughput sequencing,Anopheles anthropophagus,0,3,1,GEO,12-Jan-17
GPL22913,Illumina HiSeq 2500 (Vibrio parahaemolyticus RIMD 2210633),high-throughput sequencing,Vibrio parahaemolyticus RIMD 2210633,0,5,1,GEO,12-Jan-17
GPL22915,Illumina HiSeq 4000 (Chlorocebus aethiops),high-throughput sequencing,Chlorocebus aethiops,0,59,3,GEO,12-Jan-17
GPL22916,Illumina HiSeq 2500 (Solanum pennellii),high-throughput sequencing,Solanum pennellii,0,15,1,GEO,12-Jan-17
GPL22918,HiSeq X Ten (Sus scrofa),high-throughput sequencing,Sus scrofa,0,1277,70,GEO,12-Jan-17
GPL22904,UMAN MI READYARRAY,spotted oligonucleotide,Homo sapiens,48960,0,0,Leonardo Ignacio Pavez,11-Jan-17
GPL19786,Affymetrix ENCODE 2.0R array,in situ oligonucleotide,Homo sapiens,0,4,2,Ko Ishihara,10-Jan-17
GPL22903,Illumina HiSeq 2500 (Chlorocebus aethiops),high-throughput sequencing,Chlorocebus aethiops,0,49,4,GEO,10-Jan-17
GPL22905,Illumina MiSeq (Mycobacterium tuberculosis H37Rv),high-throughput sequencing,Mycobacterium tuberculosis H37Rv,0,8,2,GEO,10-Jan-17
GPL22901,Illumina HiSeq 2500 (Phaeodactylum tricornutum CCAP 1055/1),high-throughput sequencing,Phaeodactylum tricornutum CCAP 1055/1,0,6,1,GEO,9-Jan-17
GPL18153,SABiosciences custom panel CAPH11327E,RT-PCR,Homo sapiens,65,41,3,Meghali Goswami,7-Jan-17
GPL21542,Agilent-035301 Chickpea Whole Genome 2x400K Gene Expression Custom Microarray,in situ oligonucleotide,Cicer arietinum,334952,4,3,Genotypic technology,7-Jan-17
GPL22895,Agilent-033620 Sinica_orchid_2 [Probe name version],in situ oligonucleotide,Phalaenopsis aphrodite,43029,12,3,Hsin-Hung Yeh,7-Jan-17
GPL21368,Agilent Plasmodium falciparum 3D7 2x400K CGH microarray designed by Genotypic Technology (AMADID: G4124A_025327),in situ oligonucleotide,Plasmodium falciparum 3D7,418577,1,1,Genotypic technology,6-Jan-17
GPL22893,Illumina HiSeq 1500 (Francisella tularensis),high-throughput sequencing,Francisella tularensis,0,10,1,GEO,6-Jan-17
GPL22897,Illumina MiSeq (Staphylococcus aureus subsp. aureus NCTC 8325),high-throughput sequencing,Staphylococcus aureus subsp. aureus NCTC 8325,0,25,3,GEO,6-Jan-17
GPL22898,Illumina HiSeq 2500 (Bombus terrestris),high-throughput sequencing,Bombus terrestris,0,0,0,GEO,6-Jan-17
GPL21347,Custom Agilent Chickpea Whole Genome 8x60K (AMADID: 037094) designed  by Genotypic Technology Private Limited,in situ oligonucleotide,Cicer arietinum,61657,16,2,Genotypic technology,5-Jan-17
GPL21450,Agilent-026377 Candida albicans Custom Gene Expression Microarray 8x15K,in situ oligonucleotide,Candida albicans,6202,14,3,Genotypic technology,5-Jan-17
GPL21797,Agilent Custom Rice Gene Expression 44x44k Array (AMADID: 064815) designed by Genotypic Technology Private Limited,in situ oligonucleotide,Oryza sativa,42249,6,1,Genotypic technology,5-Jan-17
GPL22254,Agilent custom R palustris Gene Expression  8x15k Array (AMADID: 075878) by Genotypic Technology Private Ltd,in situ oligonucleotide,Rhodopseudomonas palustris,5227,8,1,Genotypic technology,5-Jan-17
GPL22876,Geochip 4.0,spotted oligonucleotide,uncultured soil microorganism,80412,20,1,Yuguang Zhang,5-Jan-17
GPL22881,ThermoFisher Taqman® OpenArray® Drosophila melanogaster Custom 56 Assay Plate,RT-PCR,Drosophila melanogaster,56,918,1,Elizabeth G King,5-Jan-17
GPL22887,Illumina NextSeq 500 (Parabronema skrjabini),high-throughput sequencing,Parabronema skrjabini,0,0,0,GEO,5-Jan-17
GPL22888,Illumina HiSeq 2000 (Parabronema skrjabini),high-throughput sequencing,Parabronema skrjabini,0,0,0,GEO,5-Jan-17
GPL22892,Illumina HiSeq 2000 (Labrus bergylta),high-throughput sequencing,Labrus bergylta,0,24,1,GEO,5-Jan-17
GPL22880,Illumina HiSeq 2500 (Streptococcus pneumoniae D39),high-throughput sequencing,Streptococcus pneumoniae D39,0,14,3,GEO,4-Jan-17
GPL22883,Illumina NextSeq 500 (Brugia malayi),high-throughput sequencing,Brugia malayi,0,72,2,GEO,4-Jan-17
GPL22874,Illumina HiSeq 2500 (Phycomyces blakesleeanus),high-throughput sequencing,Phycomyces blakesleeanus,0,12,1,GEO,3-Jan-17
GPL22875,Illumina HiSeq 2000 (Paenibacillus polymyxa),high-throughput sequencing,Paenibacillus polymyxa,0,2,1,GEO,3-Jan-17
GPL22877,QiaGen miScript miRNA PCR Array Mouse miRBase Profiler Product number 331223,RT-PCR,Mus musculus,384,21,1,Huang-Ge Zhang,3-Jan-17
GPL22878,Illumina HiSeq 2000 (Orychophragmus violaceus),high-throughput sequencing,Orychophragmus violaceus,0,6,2,GEO,3-Jan-17
GPL21397,Agilent Bovine miRNA 8x60K Microarray (AMADID: 072447),in situ oligonucleotide,Bos indicus,809,8,1,Genotypic technology,2-Jan-17
GPL22873,Illumina HiSeq 2000 (Mesocricetus auratus),high-throughput sequencing,Mesocricetus auratus,0,27,4,GEO,2-Jan-17
GPL19526,Agilent-031241 D. rerio 8x60k V3 Zebrafish 026437 [Genome Zv9 version],in situ oligonucleotide,Danio rerio,62976,32,1,Andreas Schüttler,1-Jan-17
GPL21361,Agilent-049002 zebrav360k026437 026437 [Probe name version],in situ oligonucleotide,Danio rerio,43659,8,1,June-Woo Park,1-Jan-17
GPL21477,Agilent-063615 P. gingivalis 8x15K v1.0,in situ oligonucleotide,Porphyromonas gingivalis,15744,4,1,Kazuyuki Ishihara,1-Jan-17
GPL21620,Nucleic Acid Programmable Protein Array (NAPPA) Serous Ovarian Discovery Array - FLAG,spotted peptide or protein,Homo sapiens,2352,60,2,Benjamin A Katchman,1-Jan-17
GPL21621,Nucleic Acid Programmable Protein Array (NAPPA) Serous Ovarian Discovery Array - GST1,spotted peptide or protein,Homo sapiens,2352,60,2,Benjamin A Katchman,1-Jan-17
GPL21622,Nucleic Acid Programmable Protein Array (NAPPA) Serous Ovarian Discovery Array - GST2,spotted peptide or protein,Homo sapiens,2352,60,2,Benjamin A Katchman,1-Jan-17
GPL21623,Nucleic Acid Programmable Protein Array (NAPPA) Serous Ovarian Discovery Array - GST3,spotted peptide or protein,Homo sapiens,2352,60,2,Benjamin A Katchman,1-Jan-17
GPL21624,Nucleic Acid Programmable Protein Array (NAPPA) Serous Ovarian Discovery Array - GST4,spotted peptide or protein,Homo sapiens,2352,60,2,Benjamin A Katchman,1-Jan-17
GPL21630,Nucleic Acid Programmable Protein Arrays (NAPPA) Serous Ovarian Discovery Array - Validation Array,spotted peptide or protein,Homo sapiens,2016,85,2,Benjamin A Katchman,1-Jan-17
GPL21736,NimbleGen Pongo pygmaeus ChIP 385k Custom Array [080313_PP-EC-HS_GD_ChIP],in situ oligonucleotide,Homo sapiens;Pongo abelii;Pongo pygmaeus,0,1,1,Stefania Purgato,1-Jan-17
GPL21737,NimbleGen Pongo pygmaeus ChIP 385k Custom Array [101112_HG17_HG18_Pongo_SP_ChIP],in situ oligonucleotide,Homo sapiens;Pongo abelii;Pongo pygmaeus,0,3,1,Stefania Purgato,1-Jan-17
GPL21747,Agilent-064096 SaMW2_exp_140130_2,in situ oligonucleotide,Staphylococcus aureus subsp. aureus MW2,15744,7,2,Kentaro Oyama,1-Jan-17
GPL21968,Nanostring nCounter Human microRNA,other,Homo sapiens,753,96,1,Luciano Cascione,1-Jan-17
GPL22080,NimbleGen Treponema denticola Array [2006-07-27_TI243275_60mer; PROBE_DESIGN_ID version],in situ oligonucleotide,Treponema denticola,13835,2,1,Kazuyuki Ishihara,1-Jan-17
GPL22082,Agilent-027382 Danio_Rerio_TF_V2 [Feature Number version],in situ oligonucleotide,Danio rerio,45220,0,0,Samantha Jane England,1-Jan-17
GPL22129,110404_MM9_BH_ChIP_HX3,in situ oligonucleotide,Mus musculus,354999,8,1,Robert Scott Illingworth,1-Jan-17
GPL22163,Fluidigm qPCR gene panel for CML analysis,RT-PCR,Homo sapiens,95,2333,1,Mikael Nils Erik Sommarin,1-Jan-17
GPL22307,Agilent-037376 lincRNA PJ final,in situ oligonucleotide,Homo sapiens,180880,80,1,Pieter-Jan Volders,1-Jan-17
GPL22360,Agilent-071342 LncRNA [Probe Name version],in situ oligonucleotide,Homo sapiens,60067,0,0,Liang Zhang,1-Jan-17
GPL22361,Agilent-071342 LncRNA [Feature number version],in situ oligonucleotide,Homo sapiens,62976,32,2,Liang Zhang,1-Jan-17
GPL22515,"Agilent-074336 Oryza sativa alternatively spliced transcript detecting microarray (OsASDM1, version 1)",in situ oligonucleotide,Oryza sativa,46411,8,1,Yeon-Ki Kim,1-Jan-17
GPL22542,Klug lab - Rhodobacter sphaeroides - 15k array Version 2 (144 sRNA),spotted oligonucleotide,Cereibacter sphaeroides 2.4.1,15208,4,1,Gabriele Klug,1-Jan-17
GPL13451,Miltenyi Biotec miRXplore miRNA Microarray,spotted DNA/cDNA,Homo sapiens,859,100,1,Yu Wang,31-Dec-16
GPL16434,Agilent-034798 Streptococcus dysgalactiae subsp. Equisimilis 15K J11420,in situ oligonucleotide,Streptococcus dysgalactiae subsp. equisimilis,15744,0,0,Shinya Watanabe,31-Dec-16
GPL18086,NanoString nCounter Human miRNA Expression Assay,in situ oligonucleotide,Homo sapiens,654,53,3,Chung-Wu Lin,31-Dec-16
GPL18423,DKFZ_BreastSys_RPPA,spotted peptide or protein,Homo sapiens,864,31,1,Ulrike Korf,31-Dec-16
GPL18914,RIKEN Cassava 60k v2.0,in situ oligonucleotide,Manihot esculenta,62976,0,0,Tetsuya Sakurai,31-Dec-16
GPL19326,TaqMan® Array Rodent MicroRNA A+B Cards Set v3.0 [4444909],RT-PCR,Mus musculus,768,6,1,xueming zhao,31-Dec-16
GPL19408,RIKEN Cassava 60k v2.0 (probe name version),in situ oligonucleotide,Manihot esculenta,59135,18,1,Tetsuya Sakurai,31-Dec-16
GPL19490,S. uberis-specific array,spotted DNA/cDNA,Streptococcus uberis,279,31,1,Nitin Mantri,31-Dec-16
GPL19764,Agilent-041913 Nicotiana attenuata 60K [Probe Name version],in situ oligonucleotide,Nicotiana attenuata,59157,24,2,Klaus Gase,31-Dec-16
GPL20631,Custom LNA™ Universal RT microRNA PCR panels,RT-PCR,Homo sapiens,153,74,1,Matthias Hackl,31-Dec-16
GPL20986,MRA-1001B1 Human miRNA Array miRbase release 19,in situ oligonucleotide,Homo sapiens,2019,20,1,Peng Gao,31-Dec-16
GPL21244,Agilent  Zebrafish Gene Expression  8x60k Array AMADID: 064074 designed by Genotypic Technology Private Limited.,in situ oligonucleotide,Danio rerio,43041,8,1,Genotypic technology,31-Dec-16
GPL21266,ICR_human_sar_v1,spotted oligonucleotide,Homo sapiens,1937,20,1,YF Lee,31-Dec-16
GPL21609,Stanford Functional Genomics Facility SHDZ,spotted DNA/cDNA,Homo sapiens,12415,16,2,Severine Aude Degrelle,31-Dec-16
GPL22069,Exiqon miRCURY™ LNA miRNA v.11 (miRBASE version 16.0 ),spotted oligonucleotide,Drosophila melanogaster,152,9,1,Surajit Bhattacharya,31-Dec-16
GPL22152,Agilent-066138 Dicentrarchus labrax 60K array (Probe Name version),in situ oligonucleotide,Dicentrarchus labrax,24256,15,1,Aurelie LE CAM,31-Dec-16
GPL22427,Agilent-048771 4x44K Grape all [Probe Name version],in situ oligonucleotide,Vitis vinifera,34429,65,12,Alessandra Amato,31-Dec-16
GPL22428,NimbleGen Petunia hybrida chip [111012_PAX_PT_expr_HX12],in situ oligonucleotide,Petunia x hybrida,140343,6,2,Alessandra Amato,31-Dec-16
GPL18937,Agilent-046663 Trees_MS_expr_X4 [Feature Number Version],in situ oligonucleotide,Trichoderma reesei,62976,0,0,Ting-Fang Wang,30-Dec-16
GPL22241,Agilent-031492 Listeria monocytogenes LMv2_0_0,in situ oligonucleotide,Listeria monocytogenes,62976,16,1,Stuart C Allen,30-Dec-16
GPL22745,[RheGene-1_0-st] Rhesus Gene 1.0 ST Array [probe set (exon) version],in situ oligonucleotide,Macaca mulatta,220746,48,1,MALIKA AID,30-Dec-16
GPL22871,Illumina HiSeq 2500 (Odontobutis potamophila),high-throughput sequencing,Odontobutis potamophila,0,12,1,GEO,30-Dec-16
GPL22872,Illumina HiSeq 2000 (Mus musculus; Mycobacterium tuberculosis),high-throughput sequencing,Mus musculus;Mycobacterium tuberculosis,0,3,1,GEO,30-Dec-16
GPL22007,"Exiqon miRCURY LNA microRNA array, 7th generation [miRBase v18]",spotted oligonucleotide,Homo sapiens,1896,12,1,Xiaorong Zhong,29-Dec-16
GPL22866,Geochip 5.0,in situ oligonucleotide,Archaea;Bacteria;Eukaryota;Viruses,94323,144,2,Tengxu Wang,29-Dec-16
GPL22869,Illumina HiSeq 2000 (Physalis pubescens),high-throughput sequencing,Physalis pubescens,0,5,1,GEO,29-Dec-16
GPL22870,Illumina MiSeq (Hafnia alvei),high-throughput sequencing,Hafnia alvei,0,18,1,GEO,29-Dec-16
GPL22857,Qiagen Human Inflammatory Cytokines & Receptors PCR Array(PAHS-011Z),RT-PCR,Homo sapiens,96,16,2,Zhichao Ai,28-Dec-16
GPL22858,MDACC Dr. Calin custom ncRNA array,in situ oligonucleotide,Homo sapiens;Mus musculus,48035,215,5,Simone Anfossi,28-Dec-16
GPL22860,Human Tumor Metastasis PCR Array,RT-PCR,Homo sapiens,96,15,1,Zhichao Ai,28-Dec-16
GPL22862,Illumina HiSeq 2500 (Mauremys reevesii),high-throughput sequencing,Mauremys reevesii,0,3,1,GEO,28-Dec-16
GPL22864,Illumina miseq (Saccharomyces cerevisiae),high-throughput sequencing,Saccharomyces cerevisiae,0,2,1,GEO,28-Dec-16
GPL22867,PacBio RS II (Ralstonia solanacearum),high-throughput sequencing,Ralstonia solanacearum,0,2,2,GEO,28-Dec-16
GPL22859,Illumina HiSeq 4000 (Agrobacterium sp. ATCC 31749),high-throughput sequencing,Agrobacterium sp. ATCC 31749,0,12,1,GEO,27-Dec-16
GPL22861,Agilent-046065 Mouse miRNA [Feature Number],in situ oligonucleotide,Mus musculus,52044,6,1,GEO admin,27-Dec-16
